太魯閣國家公園管理處,26,錐麓古道,2016-07-06,2016-07-11,已發布尼伯特海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
太魯閣國家公園管理處,18,北二段（鬼門關斷崖）,2016-07-06,2016-07-11,已發布尼伯特海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
太魯閣國家公園管理處,19,閂山鈴鳴山,2016-07-06,2016-07-11,已發布尼伯特海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
太魯閣國家公園管理處,20,閂山單攻,2016-07-06,2016-07-11,已發布尼伯特海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
太魯閣國家公園管理處,21,畢祿縱走羊頭,2016-07-06,2016-07-11,已發布尼伯特海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
太魯閣國家公園管理處,22,畢祿山,2016-07-06,2016-07-11,已發布尼伯特海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
太魯閣國家公園管理處,23,羊頭山單攻,2016-07-06,2016-07-11,已發布尼伯特海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
太魯閣國家公園管理處,33,其他,2016-07-06,2016-07-11,已發布尼伯特海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
太魯閣國家公園管理處,33,其他,2016-07-12,2016-07-12,
太魯閣國家公園管理處,23,羊頭山單攻,2016-07-12,2016-07-12,
太魯閣國家公園管理處,22,畢祿山,2016-07-12,2016-07-12,
太魯閣國家公園管理處,21,畢祿縱走羊頭,2016-07-12,2016-07-12,
太魯閣國家公園管理處,20,閂山單攻,2016-07-12,2016-07-12,
太魯閣國家公園管理處,19,閂山鈴鳴山,2016-07-12,2016-07-12,
太魯閣國家公園管理處,18,北二段（鬼門關斷崖）,2016-07-12,2016-07-12,
太魯閣國家公園管理處,26,錐麓古道,2016-07-12,2016-07-12,
太魯閣國家公園管理處,26,錐麓古道,2016-09-13,2016-09-19,已發布莫蘭蒂海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
太魯閣國家公園管理處,18,北二段（鬼門關斷崖）,2016-09-13,2016-09-19,已發布莫蘭蒂海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
太魯閣國家公園管理處,19,閂山鈴鳴山,2016-09-13,2016-09-19,已發布莫蘭蒂海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
太魯閣國家公園管理處,20,閂山單攻,2016-09-13,2016-09-19,已發布莫蘭蒂海上颱風警報，禁止進入本處生態保護區及其他管制區域，俟警報解除發布後，視災害復原情形，再予公告開放時間。
